6,43.5,4.5
6,52,5.01
6,60,5.32
6,70,5.53
6,75,5.57
6,80,5.68
6,90,5.88
6,110,5.68
6,120,5.32
6,135,4.62
6,150,3.84
6,165,3.29
6,180,3.06
8,42.4,5.4
8,52,6.02
8,60,6.29
8,70,6.45
8,75,6.57
8,80,6.71
8,90,6.82
8,110,6.63
8,120,6.37
8,135,5.76
8,150,4.94
8,165,4.32
8,180,4.04
10,40.9,5.98
10,52,6.63
10,60,6.87
10,70,7.03
10,75,7.18
10,80,7.28
10,90,7.4
10,110,7.24
10,120,7.04
10,135,6.57
10,150,5.88
10,165,5.24
10,180,4.94
12,39.4,6.2
12,52,6.96
12,60,7.24
12,70,7.42
12,75,7.45
12,80,7.5
12,90,7.72
12,110,7.73
12,120,7.54
12,135,7.14
12,150,6.6
12,165,6.06
12,180,5.75
14,38.3,6.33
14,52,7.12
14,60,7.4
14,75,7.77
14,80,7.8
14,90,7.87
14,110,8.16
14,120,8
14,135,7.6
14,150,7.13
14,165,6.69
14,180,6.43
16,37.7,6.41
16,52,7.22
16,60,7.5
16,70,7.79
16,75,7.92
16,80,8.04
16,90,8.05
16,110,8.49
16,120,8.45
16,135,8.03
16,150,7.57
16,165,7.18
16,180,6.95
20,39.1,6.45
20,52,7.26
20,60,7.58
20,70,7.91
20,75,8.06
20,80,8.21
20,90,8.49
20,110,8.83
20,120,9.25
20,135,8.96
20,150,8.38
20,165,7.99
20,180,7.77
